suspect_id,first_name,last_name,gender,age,national_id,known_addresses,criminal_record_summary,biometric_data,behavior_patterns
SUSP-00001,Alex,Lee,Female,31,NID001000,"Nyarugenge, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 69.21, ""nose_width"": 39.89}, ""fingerprint_hash"": ""fp_356776""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00002,Alex,Lee,Female,51,NID001001,"Rubavu, Western",Gang activity,"{""facial_features"": {""eye_distance"": 69.27, ""nose_width"": 36.54}, ""fingerprint_hash"": ""fp_113897""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00003,Chris,Brown,Female,34,NID001002,"Musanze, Northern",Gang activity,"{""facial_features"": {""eye_distance"": 58.35, ""nose_width"": 41.47}, ""fingerprint_hash"": ""fp_225017""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00004,Alex,Garcia,Female,52,NID001003,"Nyagatare, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 57.03, ""nose_width"": 30.53}, ""fingerprint_hash"": ""fp_858571""}","{""movement"": ""frequent night travel"", ""associates"": ""known gang members""}"
SUSP-00005,Pat,Garcia,Male,18,NID001004,"Kicukiro, Kigali",Gang activity,"{""facial_features"": {""eye_distance"": 56.01, ""nose_width"": 40.83}, ""fingerprint_hash"": ""fp_722855""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00006,Alex,Garcia,Male,53,NID001005,"Nyagatare, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 69.72, ""nose_width"": 42.4}, ""fingerprint_hash"": ""fp_114770""}","{""movement"": ""uses public transport only"", ""associates"": ""youth groups""}"
SUSP-00007,Pat,Smith,Female,32,NID001006,"Gasabo, Kigali",Repeat offender,"{""facial_features"": {""eye_distance"": 65.63, ""nose_width"": 30.69}, ""fingerprint_hash"": ""fp_811139""}","{""movement"": ""frequent border crossing"", ""associates"": ""unknown individuals""}"
SUSP-00008,Alex,Brown,Male,36,NID001007,"Rwamagana, Eastern",First time offense,"{""facial_features"": {""eye_distance"": 62.98, ""nose_width"": 34.44}, ""fingerprint_hash"": ""fp_873864""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00009,Pat,Brown,Male,59,NID001008,"Nyarugenge, Kigali",First time offense,"{""facial_features"": {""eye_distance"": 60.79, ""nose_width"": 35.95}, ""fingerprint_hash"": ""fp_138068""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
SUSP-00010,Alex,Garcia,Male,22,NID001009,"Rubavu, Western",Repeat offender,"{""facial_features"": {""eye_distance"": 55.74, ""nose_width"": 30.71}, ""fingerprint_hash"": ""fp_411675""}","{""movement"": ""routine local market visits"", ""associates"": ""none""}"
